,Throughput,Latency,Energy,Security,Cross Shard Ratio,Performance Score
Ddos,3819.002,9.814,1.883,0.07,0.301,0.601
Eclipse,3749.011,9.761,1.869,0.039,0.3,0.467
Mixed,2435.622,9.773,1.88,0.061,0.302,0.456
No Attack,3603.318,9.768,1.887,0.039,0.301,0.454
Finney,3439.515,9.805,1.88,0.039,0.304,0.441
Bribery,3105.869,9.795,1.881,0.039,0.3,0.415
Sybil,3638.15,9.805,1.869,0.009,0.3,0.326
Selfish Mining,1690.864,9.698,1.883,0.039,0.297,0.306
51 Percent,3406.237,9.823,1.883,0.006,0.306,0.292
